figure_id,chapter,chapter_title,working_title,purpose,type,source_path,dataset_ids,ebook_path,caption,alt_text,status
fig-06-01,6,Summation and Mathematical Notation,From repeated addition to sigma notation,Show that sigma notation compresses an unchanged addition rule,annotated equation,publication/figures/source/fig-06-01.py,nrg-ch06-sample,publication/figures/ebook/fig-06-01.png,"Figure 6.1. The four shipment quantities 120, 150, 90, and 140 cases total 500 cases whether written as repeated addition or as a finite sum from i = 1 to 4.","Four boxes labelled q1 through q4 contain shipment quantities of 120, 150, 90, and 140 cases. Their expanded addition equals 500 cases and an arrow leads to the equivalent sigma expression with bounds 1 and 4.",generated
fig-06-02,6,Summation and Mathematical Notation,"Indices, bounds, and terms",Explain how inclusive bounds select indexed terms,table-diagram,publication/figures/source/fig-06-02.py,nrg-ch06-sample,publication/figures/ebook/fig-06-02.png,Figure 6.2. Inclusive bounds from i = 1 through i = 4 select four shipment terms. The running sum reaches 500 cases after the fourth term.,"Table with four rows for indices 1 to 4, warehouse names, indexed shipment terms, and running sums of 120, 270, 360, and 500 cases. A note emphasizes that both bounds are included.",generated
fig-07-01,7,"Vectors, Distance, and Similarity","Magnitude, direction, and components",Connect vector components to magnitude and unit direction,vector diagram,publication/figures/source/fig-07-01.py,nrg-ch07-sample,publication/figures/ebook/fig-07-01.png,"Figure 7.1. The vector (3, 4) has horizontal and vertical components 3 and 4, magnitude 5, and unit direction (0.6, 0.8). Normalisation preserves direction while changing magnitude to 1.","Coordinate diagram with an arrow from the origin to the point 3, 4. Dashed lines mark horizontal component 3 and vertical component 4. Labels show magnitude 5 and unit direction 0.6, 0.8.",generated
fig-07-02,7,"Vectors, Distance, and Similarity","Euclidean, Manhattan, and cosine comparison",Compare separation and directional alignment on a two-feature projection,geometry plot,publication/figures/source/fig-07-02.py,nrg-ch07-sample,publication/figures/ebook/fig-07-02.png,"Figure 7.2. In the coffee-and-tea projection, warehouse profiles A = (4, 3) and B = (2, 4) have Euclidean distance about 2.24, Manhattan distance 3, and cosine similarity about 0.894. The full chapter vectors also include noodles.","Coordinate plot of two demand vectors from the origin. A straight segment between their endpoints represents Euclidean distance, a right-angled dashed path represents Manhattan distance, and the angle at the origin represents cosine similarity. A note identifies this as a two-feature projection.",generated
fig-08-01,8,Matrices and Systems of Equations,"Rows, columns, and matrix multiplication",Show compatible shapes and row dot products in a resource calculation,matrix diagram,publication/figures/source/fig-08-01.py,nrg-ch08-sample,publication/figures/ebook/fig-08-01.png,Figure 8.1. Multiplying the 2 by 2 coefficient matrix by the two-entry production vector produces two resource totals. Each output is one matrix-row dot product.,Three connected panels show coefficient matrix A multiplied by batch vector x to equal resource vector b. The first row calculation is 2 times 42 plus 1 times 16 equals 100; the second is 1 times 42 plus 3 times 16 equals 90.,generated
fig-08-02,8,Matrices and Systems of Equations,Two equations and their intersection,Show the unique production plan satisfying both resource equations,coordinate plot,publication/figures/source/fig-08-02.py,nrg-ch08-sample,publication/figures/ebook/fig-08-02.png,Figure 8.2. The ingredient-A and ingredient-B constraint lines intersect once at 42 coffee-blend batches and 16 tea-blend batches. This point satisfies both equations.,"Coordinate plot with coffee batches on the horizontal axis and tea batches on the vertical axis. Lines for 2x plus y equals 100 and x plus 3y equals 90 intersect at the highlighted point 42, 16, labelled as the unique solution.",generated
fig-09-01,9,"Change, Slopes, and Derivatives",Average and instantaneous rates of change,Show secant slopes converging toward a tangent slope,tangent plot,publication/figures/source/fig-09-01.py,nrg-ch09-sample,publication/figures/ebook/fig-09-01.png,"Figure 9.1. For f(x) = x squared at x = 3, secant slopes 7.0, 6.5, and 6.1 approach the tangent slope 6.0 as the interval h shrinks from 1.0 to 0.1.","Plot of the curve f of x equals x squared with three dashed secant lines and one solid tangent line sharing the anchor point 3, 9. The labelled secant slopes move from 7.0 toward the tangent slope 6.0.",generated
fig-09-02,9,"Change, Slopes, and Derivatives",Derivative as a changing slope,Connect changing tangent slopes with exact and numerical derivatives,line chart,publication/figures/source/fig-09-02.py,nrg-ch09-sample,publication/figures/ebook/fig-09-02.png,"Figure 9.2. Tangent slopes for f(x) = x squared increase from 2 at x = 1 to 10 at x = 5. The exact derivative 2x agrees with the central difference at h = 0.1, while the forward difference is consistently 0.1 higher.","Two-panel figure. The left panel shows tangent segments with slopes 2, 6, and 10 on the square curve. The right panel compares the exact derivative 2x with forward and central finite differences across inputs zero to five.",generated
fig-10-01,10,Accumulation and Integration,Accumulation with rectangles and trapezoids,Compare rate-times-width approximations and signed contributions,area diagram,publication/figures/source/fig-10-01.py,nrg-ch10-sample,publication/figures/ebook/fig-10-01.png,Figure 10.1. Half-hour left rectangles and trapezoids approximate the signed accumulation of the net flow r(t) = 12 - 3t. Contributions are positive before the rate crosses zero at hour 4 and negative afterwards.,Two side-by-side plots of a declining straight net-flow line from 12 cases per hour at hour zero to negative 6 at hour six. The left plot overlays half-hour left rectangles; the right overlays trapezoids. Positive contributions are shaded above zero and negative contributions below zero.,generated
fig-10-02,10,Accumulation and Integration,Rate and cumulative total,Connect the changing rate to net change and total movement,line chart,publication/figures/source/fig-10-02.py,nrg-ch10-sample,publication/figures/ebook/fig-10-02.png,"Figure 10.2. Integrating NRG's net flow produces a cumulative trajectory that peaks at 24 cases when the rate reaches zero. By hour 6 the signed net change is 18 cases, while total movement is 30 cases.","Two-panel figure. The left panel shades positive inbound and negative outbound regions under a declining net-flow rate. The right panel shows exact net change and cumulative trapezoids overlapping, rising to 24 cases at hour four and falling to 18 at hour six, while total movement continues upward to 30 cases.",generated
fig-11-01,11,Optimisation from Trial and Error to Gradients,Loss surface and gradient path,Show a two-parameter gradient-descent path toward a known minimum,contour plot,publication/figures/source/fig-11-01.py,nrg-ch11-sample,publication/figures/ebook/fig-11-01.png,"Figure 11.1. Starting at (-3, 4), gradient descent with learning rate 0.10 follows the negative gradient down the quadratic loss surface toward its minimum at (2, -1).","Contour plot of a bowl-shaped two-parameter loss surface. A gold path begins at the red point negative 3, 4 and moves through successively smaller contours toward a navy star marking the minimum at 2, negative 1.",generated
fig-11-02,11,Optimisation from Trial and Error to Gradients,Learning rate and convergence,Compare slow stable oscillating and divergent updates,line chart,publication/figures/source/fig-11-02.py,nrg-ch11-sample,publication/figures/ebook/fig-11-02.png,"Figure 11.2. On L(w) = (w - 4) squared + 2, learning rates 0.05 and 0.10 converge smoothly, 0.60 oscillates while converging, and 1.10 oscillates with increasing magnitude and diverges.","Two-panel line chart across 20 updates. Parameter paths approach the optimum w equals 4 at different speeds; the learning-rate 1.10 path swings beyond the plotted range. Log-scale loss histories converge toward 2 for rates 0.05, 0.10, and 0.60, while the 1.10 loss rises beyond ten thousand.",generated
fig-12-01,12,"Probability, Conditional Probability, and Bayes' Theorem",Conditional probability in quality inspection,Expose each conditioning group with natural frequencies,probability tree,publication/figures/source/fig-12-01.py,nrg-ch12-sample,publication/figures/ebook/fig-12-01.png,"Figure 12.1. Among 1,000 cartons, 18 of 20 defective cartons and 49 of 980 sound cartons produce alerts. The 67 alerts therefore contain both true and false positives.","Probability tree beginning with 1,000 cartons. It branches to 20 defective and 980 sound cartons, then to 18 defective alerts, 2 defective non-alerts, 49 sound alerts, and 931 sound non-alerts. A label notes 67 alerts in total.",generated
fig-12-02,12,"Probability, Conditional Probability, and Bayes' Theorem","Prior, evidence, and posterior",Show why sensitivity is not the posterior defect probability,Bayes flow,publication/figures/source/fig-12-02.py,nrg-ch12-sample,publication/figures/ebook/fig-12-02.png,"Figure 12.2. Although the camera has 90% sensitivity, only 18 of 67 alerts are defective cartons. Bayes' theorem updates the 2% prior defect probability to a 26.9% posterior after an alert.","Two-panel figure. The left chart compares 18 defective alerts with 49 sound-carton alerts. The right flow shows a 2% prior, 90% likelihood, 1.8% defective-and-alert joint probability, and 26.9% posterior probability of defect given an alert.",generated
fig-13-01,13,"Observations, Variables, Populations, and Samples","Population, sampling frame, sample, and observation",Distinguish the target population operational frame selected sample and one row,population-sample diagram,publication/figures/source/fig-13-01.py,nrg-ch13-sample,publication/figures/ebook/fig-13-01.png,"Figure 13.1. The 400-store target population contains a 384-store operational sampling frame, from which 50 stores are selected. One red point represents one store observation; 16 target stores are absent from the frame.","Nested-circle diagram. The outer circle is a target population of 400 stores, the middle circle a sampling frame of 384, and the inner circle a sample of 50. A red point identifies one store row, while an arrow notes 16 target stores missing from the frame.",generated
fig-13-02,13,"Observations, Variables, Populations, and Samples",Sampling variation,Show sample-to-sample variation in the mean under one fixed selection rule,dot plot,publication/figures/source/fig-13-02.py,nrg-ch13-sample,publication/figures/ebook/fig-13-02.png,"Figure 13.2. Means from 250 reproducible simple random samples of 50 frame-covered stores vary around the fixed population mean of 1,280.1 weekly units. The released sample mean is 1,323.2 units.","Stacked dot plot of 250 sample means, mostly between about 1,200 and 1,370 weekly units, with a solid vertical line at the 1,280.1-unit population mean and a dashed line at the released sample mean of 1,323.2.",generated
fig-14-01,14,"Data Types, Collection, Sampling, and Measurement Error",Variable and measurement-scale types,Separate computer storage representation from statistical measurement meaning,classification diagram,publication/figures/source/fig-14-01.py,nrg-ch14-sample,publication/figures/ebook/fig-14-01.png,"Figure 14.1. Storage type does not determine measurement scale: a text warehouse code is nominal, an integer satisfaction level is ordinal, Celsius temperature is interval scale, and weight in kilograms is ratio scale.","Four-row classification diagram mapping warehouse code stored as text to nominal scale, satisfaction stored as integer to ordinal scale, Celsius temperature stored as float to interval scale, and weight stored as float to ratio scale, with a short statement of meaningful operations.",generated
fig-14-02,14,"Data Types, Collection, Sampling, and Measurement Error",Systematic and random measurement error,Contrast a biased sensor with an otherwise comparable zero-offset sensor,comparison plot,publication/figures/source/fig-14-02.py,nrg-ch14-sample,publication/figures/ebook/fig-14-02.png,"Figure 14.2. Forty calibration readings from the biased scale have mean signed error +0.395 kg, close to the imposed +0.4 kg offset. The comparison scale has mean signed error +0.003 kg, while both retain random scatter.",Two scatter plots of signed error against reference weights from 10 to 100 kilograms. Biased-scale errors cluster around a dashed mean line at positive 0.395 kilograms; zero-offset-scale errors scatter around a dashed mean line near zero at positive 0.003 kilograms.,generated
fig-15-01,15,"Tables, Charts, and Distributions",Which chart answers which question,Match comparison distribution threshold and ordered-change questions to appropriate displays,chart matrix,publication/figures/source/fig-15-01.py,nrg-ch15-sample,publication/figures/ebook/fig-15-01.png,"Figure 15.1. Four views of the same 120-order sample show why display choice follows the question: a bar chart compares product categories, a histogram reveals delivery-time shape, an ECDF answers threshold questions, and a line chart follows daily order counts.",Four-panel chart matrix. A horizontal bar chart compares five product-category order counts; a histogram shows delivery times concentrated around three to four days; an ECDF marks the four-day service threshold; and a line chart shows daily order counts across April 2026.,generated
fig-15-02,15,"Tables, Charts, and Distributions",Clear and misleading chart designs,Show how a truncated baseline exaggerates a small difference in bar length,paired comparison,publication/figures/source/fig-15-02.py,nrg-ch15-sample,publication/figures/ebook/fig-15-02.png,"Figure 15.2. Both panels compare on-time delivery rates of 94% and 100%, a six-percentage-point difference. The zero-baseline panel preserves magnitude; the truncated 90% baseline visually exaggerates the gap.",Two bar charts contain identical values of 94% and 100%. The left chart starts at zero and shows a modest difference; the red right chart starts at 90% and makes the six-point difference appear much larger.,generated
fig-16-01,16,"Centres, Quantiles, and Spread","Mean, median, quantiles, and spread",Show how a slow tail affects centre while quartiles locate the middle half,distribution plot,publication/figures/source/fig-16-01.py,nrg-ch16-sample,publication/figures/ebook/fig-16-01.png,"Figure 16.1. The 80-shipment delivery-time distribution is right-skewed. The mean is 3.3 days, above the 2.7-day median; Q1 and Q3 are 1.6 and 4.0 days under NumPy's linear quantile method.","Histogram of delivery times concentrated between one and five days with a sparse tail reaching 18 days. Vertical lines mark Q1 at 1.6, median at 2.7, Q3 at 4.0, and mean at 3.3 days.",generated
fig-16-02,16,"Centres, Quantiles, and Spread",Five-number summary,Connect an annotated box plot to minimum quartiles median and maximum,box plot,publication/figures/source/fig-16-02.py,nrg-ch16-sample,publication/figures/ebook/fig-16-02.png,"Figure 16.2. The five-number summary is minimum 0.8, Q1 1.6, median 2.7, Q3 4.0, and maximum 18.0 days using NumPy's linear quantile method. The IQR is 2.4 days and the full range is 17.2 days.","Horizontal box plot spanning 0.8 to 18.0 delivery days. Labels identify the minimum, first quartile at 1.6, median at 2.7, third quartile at 4.0, and maximum, showing a long upper tail.",generated
fig-17-01,17,"Shape, Skewness, and Outliers","Symmetry, skewness, and tails",Contrast balanced routine variation right-skewed waiting and a distant valid tail event,distribution comparison,publication/figures/source/fig-17-01.py,nrg-ch17-sample,publication/figures/ebook/fig-17-01.png,"Figure 17.1. Three 60-observation scenarios contrast a roughly symmetric routine process, naturally right-skewed waiting times, and routine times plus one verified 18-day disruption. Mean and median markers show how tails can alter centre summaries.","Three aligned histograms use the same zero-to-19-day scale. The first is compact and approximately symmetric, the second has a long right tail, and the third is compact except for one isolated observation at 18 days. Mean and median lines are overlaid.",generated
fig-17-02,17,"Shape, Skewness, and Outliers",Outlier flags versus valid extremes,Demonstrate that an IQR screen triggers contextual review rather than automatic deletion,screening plot,publication/figures/source/fig-17-02.py,nrg-ch17-sample,publication/figures/ebook/fig-17-02.png,"Figure 17.2. The conventional upper IQR fence flags the 18-day shipment for review. Its source and route were verified in the teaching scenario, so it is retained and labelled as a disruption rather than silently deleted.",Strip plot of 60 delivery times clustered near five days with a dashed upper IQR fence. A single red point at 18 days is annotated as a verified disruption retained with context.,generated
fig-18-01,18,Probability Distributions,Discrete and continuous distributions,Distinguish probability mass at countable outcomes from density whose interval area is probability,small-multiple plots,publication/figures/source/fig-18-01.py,nrg-ch18-sample,publication/figures/ebook/fig-18-01.png,"Figure 18.1. A binomial PMF assigns probability mass to each possible late-shipment count, while a normal PDF assigns density across fill weights. For a continuous model, probability is area over an interval rather than curve height at one exact point.","Side-by-side plots show blue bars for binomial late-shipment probabilities from zero through ten and a smooth teal normal density for fill weights centred at 100 grams, with gold area beneath the curve.",generated
fig-18-02,18,Probability Distributions,Parameters change probability shapes,Show how Poisson rate and normal standard deviation select different family members,annotated curves,publication/figures/source/fig-18-02.py,nrg-ch18-sample,publication/figures/ebook/fig-18-02.png,Figure 18.2. Increasing the Poisson rate from 1 to 8 shifts likely event counts upward. Holding the normal mean at 100 while increasing sigma from 8 to 25 lowers and widens the density. Parameters change a model's operational implications.,Two panels compare parameter settings. Poisson mass curves move from low to higher counts as lambda increases from 1 to 8; normal curves centred at 100 become wider and flatter as sigma increases from 8 to 25.,generated
fig-19-01,19,Sampling Distributions and the Central Limit Theorem,Population to repeated sample means,Show individual sample variability and the centre of the repeated-sampling distribution,sampling simulation,publication/figures/source/fig-19-01.py,nrg-ch19-sample,publication/figures/ebook/fig-19-01.png,"Figure 19.1. Thirty-store sample means vary from replicate to replicate, but across 1,000 independent replicates their distribution remains centred near the fixed synthetic-population mean. Sampling variability is expected rather than evidence of an error.","Two panels show the first 30 sample means as points around a horizontal population-mean line and a histogram of all 1,000 means for samples of 30, with population and mean-of-means markers nearly aligned.",generated
fig-19-02,19,Sampling Distributions and the Central Limit Theorem,Central limit effect as sample size grows,Compare sampling-distribution shape and standard error for n equals 1 5 and 30,histogram series,publication/figures/source/fig-19-02.py,nrg-ch19-sample,publication/figures/ebook/fig-19-02.png,"Figure 19.2. Starting from a right-skewed synthetic population, sampling distributions of the mean become narrower and more regular as sample size increases from 1 to 5 to 30. The theoretical standard error follows population SD divided by square root of n.","Three histograms of 1,000 sample means use sample sizes 1, 5, and 30. The n=1 distribution is wide and right-skewed; the n=5 and n=30 distributions progressively narrow and look more symmetric, with standard errors printed above each panel.",generated
fig-20-01,20,Confidence Intervals,"Estimate, margin of error, and confidence interval",Label the point estimate endpoints margin of error and fixed population value,interval plot,publication/figures/source/fig-20-01.py,nrg-ch20-sample,publication/figures/ebook/fig-20-01.png,Figure 20.1. One simulated 40-store sample produces a point estimate and a 95% z interval equal to the estimate plus or minus 1.96 standard errors. The fixed population mean is shown for teaching verification but would be unknown in a real study.,"A thick horizontal confidence interval has labelled lower and upper endpoints, a gold point at the sample estimate, and a dashed red vertical line at the fixed synthetic-population mean of 1,000 weekly units.",generated
fig-20-02,20,Confidence Intervals,Repeated intervals and long-run coverage,Show that confidence belongs to the repeated procedure rather than certainty about one fixed interval,coverage simulation,publication/figures/source/fig-20-02.py,nrg-ch20-sample,publication/figures/ebook/fig-20-02.png,"Figure 20.2. The first 40 of 200 independently simulated 95% intervals vary around the fixed population mean. Teal intervals cover 1,000 weekly units; red intervals miss it. The displayed overall coverage is an empirical property of this finite simulation.","Forty horizontal confidence intervals are stacked by replicate around a dashed vertical population-mean line. Most teal intervals cross the line, while a small number of red intervals fall entirely to one side.",generated
fig-21-01,21,Hypothesis Tests without Mechanical Thinking,"Null model, statistic, and p-value",Show the observed statistic against a zero-effect reference distribution and its two-sided tail area,distribution diagram,publication/figures/source/fig-21-01.py,nrg-ch21-sample,publication/figures/ebook/fig-21-01.png,"Figure 21.1. The observed three-unit effect is compared with 2,000 simulated effects under a zero-effect null model with standard error 0.7. The plus-one corrected two-sided p-value is the share at least as extreme; it measures null compatibility, not effect size or business value.","Histogram of 2,000 effects centred at zero under the null model. Red vertical lines mark positive and negative three-unit observed-effect thresholds far into the tails, and the simulated two-sided p-value appears in the title.",generated
fig-21-02,21,Hypothesis Tests without Mechanical Thinking,Statistical evidence versus practical importance,Separate p-value evidence from a pre-declared minimum effect worth acting on,decision matrix,publication/figures/source/fig-21-02.py,nrg-ch21-sample,publication/figures/ebook/fig-21-02.png,Figure 21.2. Four controlled scenarios show that statistical evidence and practical importance are separate dimensions. A precise 0.8-unit effect can be statistically clear yet below the two-unit action threshold; a three-unit estimate can be important but too uncertain for strong evidence.,A two-by-two matrix crosses weak versus strong statistical evidence with below-threshold versus practically meaningful effects. Each quadrant contains a named scenario with its effect estimate and simulated p-value.,generated
fig-22-01,22,"Effect Size, Power, and Practical Importance","Effect size, sample size, and power",Show how planned effect and equal per-group sample size jointly determine power,power curve,publication/figures/source/fig-22-01.py,nrg-ch22-sample,publication/figures/ebook/fig-22-01.png,"Figure 22.1. Normal-approximation power curves for a two-sided 5% test show that larger planned effects require fewer observations per group to reach 80% power. Power is a design property tied to assumptions, not a quality label for a completed result.",Five rising power curves plot sample size per group from 10 to 200 for standardized effects from 0.1 through 0.8. A dashed horizontal line marks the 80% planning target.,generated
fig-22-02,22,"Effect Size, Power, and Practical Importance",Detectable and worthwhile effects,Contrast an 80 percent power target with a pre-declared one-day practical threshold,planning comparison,publication/figures/source/fig-22-02.py,nrg-ch22-sample,publication/figures/ebook/fig-22-02.png,"Figure 22.2. At 80 observations per group, planned power increases with effect size. The one-day minimum worthwhile effect and 80% power target are separate boundaries: detectability depends on precision, while usefulness depends on the decision context.",A rising line plots planned power against effects from 0.4 to 3.2 delivery days at 80 observations per group. A vertical line marks the one-day practical threshold and a horizontal line marks 80% power.,generated
fig-23-01,23,"Correlation, Association, and Regression","Association, fitted line, and residuals",Observed route times with their least-squares line; red vertical segments preserve each route's observed-minus-fitted residual.,scatterplot,publication/figures/source/fig-23-01.py,nrg-ch23-sample,publication/figures/ebook/fig-23-01.png,"Route distance is positively associated with delivery time. The fitted line summarizes the average pattern, while residual segments show prediction misses.",Scatterplot of route distance against delivery time with an upward fitted line. Red vertical segments connect observations to fitted values and represent residuals.,generated
fig-23-02,23,"Correlation, Association, and Regression","Curvature, unequal spread, and influence","Three scatterplots show curvature, widening residual spread, and a distant predictor value that rotates a fitted line.",diagnostic plots,publication/figures/source/fig-23-02.py,nrg-ch23-sample,publication/figures/ebook/fig-23-02.png,"Curvature, unequal spread, and high leverage can remain hidden when association is reduced to one line or coefficient.","Three panels: a curved delivery pattern, a fan-shaped pattern with increasing spread, and a high-leverage point that changes the fitted line.",generated
fig-24-01,24,"Categorical Data, ANOVA, and Non-parametric Methods",Outcome type and suitable group-comparison method,"A comparison matrix links categorical, continuous, ordinal, and design-restricted outcomes to suitable summaries and starting methods.",comparison matrix,publication/figures/source/fig-24-01.py,nrg-ch24-sample,publication/figures/ebook/fig-24-01.png,"Outcome scale and design determine the comparison: chi-square for counts, ANOVA or Welch for means, ranks for ordinal outcomes, and valid permutation schemes for restricted designs.",Four-row matrix linking outcome structures and NRG examples with what to display first and a suitable starting method.,generated
fig-24-02,24,"Categorical Data, ANOVA, and Non-parametric Methods",ANOVA and rank-based comparisons,"Picking-time box plots preserve continuous distributions, while stacked rating bars preserve the five ordered response categories.",distribution plot,publication/figures/source/fig-24-02.py,nrg-ch24-sample,publication/figures/ebook/fig-24-02.png,Different outcome scales require different displays and estimands: means for picking time and ordered category distributions for ratings.,Two panels compare shifts: box plots with mean diamonds for picking minutes and stacked proportions for ratings one through five.,generated
fig-25-01,25,Experimental Design and A/B Testing,Random assignment and outcome measurement,"A flow diagram follows 4,000 eligible accounts through blocked assignment to control or treatment and seven-day outcome measurement.",experiment flow,publication/figures/source/fig-25-01.py,nrg-ch25-sample,publication/figures/ebook/fig-25-01.png,"The account remains the unit from random assignment through outcome analysis, preventing repeated orders from being miscounted as independent assignments.","Flow diagram: 4,000 eligible accounts split by blocked random assignment into 2,000 control and 2,000 treatment accounts, then measured for completion and guardrails.",generated
fig-25-02,25,Experimental Design and A/B Testing,A/B effect with uncertainty,"Treatment-minus-control estimates and 95% normal intervals are shown for completion, correction requests, and support contacts.",interval plot,publication/figures/source/fig-25-02.py,nrg-ch25-sample,publication/figures/ebook/fig-25-02.png,"The three-percentage-point completion gain should be judged with uncertainty, the two-point practical threshold, and possible guardrail harm.",Horizontal interval plot shows a three-point completion increase plus smaller increases in correction requests and support contacts; a dashed line marks the two-point worthwhile threshold.,generated
fig-26-01,26,"Missing Data, Bias, Confounding, and Leakage","Bias, confounding, missingness, and leakage","Four panels distinguish informative missingness, selection bias, confounding, and post-outcome leakage.",causal diagrams,publication/figures/source/fig-26-01.py,nrg-ch26-sample,publication/figures/ebook/fig-26-01.png,"Missingness, selection, confounding, and leakage arise through different processes and require different remedies.","Four labeled panels show causal-arrow summaries for missingness, selection bias, urgency confounding, and a future exception code that reveals lateness.",generated
fig-26-02,26,"Missing Data, Bias, Confounding, and Leakage",Valid and leaked feature timing,"A shipment timeline places urgency, facility, and temperature before dispatch, but exception and arrival status afterward.",pipeline contrast,publication/figures/source/fig-26-02.py,nrg-ch26-sample,publication/figures/ebook/fig-26-02.png,Only information reliably available by dispatch belongs in a dispatch-time prediction model.,"Timeline split at dispatch: urgency, facility, and temperature are valid pre-decision features; final exception and arrival status are red post-decision leaked features.",generated
