dataset_id,version,title,status,path,format,rows,columns,grain,synthetic,generator_path,seed,source_url,licence,checksum,chapters,notebooks,exercises,figures,data_dictionary_path,limitations
nrg-ch11-sample,1.0.0,Chapter 11 reader sample: Optimisation from Trial and Error to Gradients,released,data/generated/ch11_sample.csv,CSV,105,10,One recorded gradient-descent state for a scenario learning rate and iteration per row,yes,scripts/data/generate_ch11_sample.py,not applicable; deterministic formulas and fixed initial values reproduce all paths,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:790f7d8a9dd58adab4305fb6047ba912731a77c7811fb0617edbc3ac872f181c,11,notebooks/part_01_mathematics/ch11_optimisation_gradients.ipynb,exercises/**/ch11_*.md,fig-11-01;fig-11-02,data/dictionaries/ch11_data_dictionary.csv,Idealised convex quadratic objectives with exact gradients; does not represent stochastic gradients noisy measurements constraints or non-convex loss surfaces
nrg-ch12-sample,1.0.0,"Chapter 12 reader sample: Probability, Conditional Probability, and Bayes' Theorem",released,data/generated/ch12_sample.csv,CSV,4,10,One quality-status and camera-signal contingency-table cell per row,yes,scripts/data/generate_ch12_sample.py,not applicable; deterministic natural frequencies reproduce the 1000-carton chapter example,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:18fd330506545b3aa9a23dc1bae330d723cc832e336bc5b857b95a291460d0ab,12,notebooks/part_01_mathematics/ch12_probability_conditional_bayes.ipynb,exercises/**/ch12_*.md,fig-12-01;fig-12-02,data/dictionaries/ch12_data_dictionary.csv,Illustrative fixed natural frequencies based on assumed prevalence sensitivity and false-positive rate; not an empirical camera-performance estimate
nrg-ch13-sample,1.0.0,"Chapter 13 reader sample: Observations, Variables, Populations, and Samples",released,data/generated/ch13_sample.csv,CSV,400,7,One synthetic company-operated Indonesian retail store per row,yes,scripts/data/generate_ch13_sample.py,1313,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:fa224f1678b27653763203a395566fabe7ff557ba843ee46c95e07cb2f4dbdb6,13,notebooks/part_02_statistics/ch13_observations_variables_populations_samples.ipynb,exercises/**/ch13_*.md,fig-13-01;fig-13-02,data/dictionaries/ch13_data_dictionary.csv,Synthetic cross-sectional teaching population; sales relationships and the 16-store frame omission are illustrative rather than empirical
nrg-ch14-sample,1.0.0,"Chapter 14 reader sample: Data Types, Collection, Sampling, and Measurement Error",released,data/generated/ch14_sample.csv,CSV,40,10,One paired calibration reading with reference and two observed scale values per row,yes,scripts/data/generate_ch14_sample.py,1414,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:898fc9b5660478ecd09aae30c3c28b9b451e627a25bf559c25c9a7f418ed1405,14,notebooks/part_02_statistics/ch14_data_types_collection_sampling_measurement_error.ipynb,exercises/**/ch14_*.md,fig-14-01;fig-14-02,data/dictionaries/ch14_data_dictionary.csv,Synthetic calibration readings with Gaussian noise and a fixed imposed offset; not a performance claim for any real scale
nrg-ch15-sample,1.0.0,"Chapter 15 reader sample: Tables, Charts, and Distributions",released,data/generated/ch15_sample.csv,CSV,120,8,One synthetic customer order during April 2026 per row,yes,scripts/data/generate_ch15_sample.py,1515,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:04490159bc455c05ffe4ce821e97e8a6a249aecfb27890a61bff1d0d6c99115e,15,notebooks/part_02_statistics/ch15_tables_charts_distributions.ipynb,exercises/**/ch15_*.md,fig-15-01;fig-15-02,data/dictionaries/ch15_data_dictionary.csv,Synthetic order mix and delivery times for chart-selection instruction; not evidence about actual NRG operations
nrg-ch16-sample,1.0.0,"Chapter 16 reader sample: Centres, Quantiles, and Spread",released,data/generated/ch16_sample.csv,CSV,80,6,One synthetic Indonesian domestic shipment per row,yes,scripts/data/generate_ch16_sample.py,1616,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:150299e37b9aaa2d9b5696a66b5d494d7924b06b9430b8f5ad4cc3e4fe0b76da,16,notebooks/part_02_statistics/ch16_centres_quantiles_spread.ipynb,exercises/**/ch16_*.md,fig-16-01;fig-16-02,data/dictionaries/ch16_data_dictionary.csv,Synthetic right-skewed delivery times with three deliberate slow-tail cases; not actual operational performance
nrg-ch17-sample,1.0.0,"Chapter 17 reader sample: Shape, Skewness, and Outliers",released,data/generated/ch17_sample.csv,CSV,180,5,One synthetic delivery-time observation within one controlled shape scenario per row,yes,scripts/data/generate_ch17_sample.py,1717,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:df851c4ff56a842a760c688c47e44adaab402d5d0cbbfc7198df3532363358ca,17,notebooks/part_02_statistics/ch17_shape_skewness_outliers.ipynb,exercises/**/ch17_*.md,fig-17-01;fig-17-02,data/dictionaries/ch17_data_dictionary.csv,Synthetic controlled distributions for shape and screening instruction; the verified disruption is illustrative and not actual NRG performance
nrg-ch18-sample,1.0.0,Chapter 18 reader sample: Probability Distributions,released,data/generated/ch18_sample.csv,CSV,85,8,One evaluated support point for one parameterized teaching distribution per row,yes,scripts/data/generate_ch18_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:9afe197670836a229c18428d69d3ae4e2b22a73a718d97de41ae8513cf50bac4,18,notebooks/part_02_statistics/ch18_probability_distributions.ipynb,exercises/**/ch18_*.md,fig-18-01;fig-18-02,data/dictionaries/ch18_data_dictionary.csv,Formula-generated PMF PDF and CDF values rounded to eight decimals; finite Poisson table stops at x=12 and is not a complete infinite support
nrg-ch19-sample,1.0.0,Chapter 19 reader sample: Sampling Distributions and the Central Limit Theorem,released,data/generated/ch19_sample.csv,CSV,3000,7,One repeated-sampling replicate and its sample mean per row,yes,scripts/data/generate_ch19_sample.py,1919,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:6988f4e520df86ee0c25f2425c6f94bef6c98399fd642bbb26c9eddbb5b5ac27,19,notebooks/part_02_statistics/ch19_sampling_distributions_clt.ipynb,exercises/**/ch19_*.md,fig-19-01;fig-19-02,data/dictionaries/ch19_data_dictionary.csv,Synthetic lognormal population and independent sampling with replacement; demonstrates repeated-sampling behavior rather than actual store demand
nrg-ch20-sample,1.0.0,Chapter 20 reader sample: Confidence Intervals,released,data/generated/ch20_sample.csv,CSV,200,9,One simulated 95 percent confidence interval for a mean per row,yes,scripts/data/generate_ch20_sample.py,2020,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:2bebf4b8baa5b074c697802ea9d9204d15ca36468a62669c98e7355830d11773,20,notebooks/part_02_statistics/ch20_confidence_intervals.ipynb,exercises/**/ch20_*.md,fig-20-01;fig-20-02,data/dictionaries/ch20_data_dictionary.csv,Synthetic normal sampling distribution with known population SD; z intervals illustrate repeated-sampling coverage and are not estimates of actual NRG demand
nrg-ch21-sample,1.0.0,Chapter 21 reader sample: Hypothesis Tests without Mechanical Thinking,released,data/generated/ch21_sample.csv,CSV,8000,9,One null-model simulation within one effect-and-precision scenario per row,yes,scripts/data/generate_ch21_sample.py,2121,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:9e3a726a80c93dde56b8d308d94741f8bb19af9434602b46bf5c8e3a9cd8f15a,21,notebooks/part_02_statistics/ch21_hypothesis_tests_without_mechanical_thinking.ipynb,exercises/**/ch21_*.md,fig-21-01;fig-21-02,data/dictionaries/ch21_data_dictionary.csv,Synthetic Gaussian null models and a pre-declared two-unit practical threshold; designed to separate evidence from importance rather than prescribe a universal decision rule
nrg-ch22-sample,1.0.0,"Chapter 22 reader sample: Effect Size, Power, and Practical Importance",released,data/generated/ch22_sample.csv,CSV,100,10,One two-group power-planning combination of effect size and sample size per row,yes,scripts/data/generate_ch22_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,bef6578bc7b94ed8a0810453aec59328c5967e030d8c66931789de890fcd8050,22,notebooks/part_02_statistics/ch22_effect_size_power_practical_importance.ipynb,exercises/**/ch22_*.md,fig-22-01;fig-22-02,data/dictionaries/ch22_data_dictionary.csv,Normal approximation for equal independent groups with known common SD; planning illustration rather than post-hoc observed power or actual NRG performance
nrg-ch23-sample,1.0.0,"Chapter 23 reader sample: Correlation, Association, and Regression",released,data/generated/ch23_sample.csv,CSV,91,7,One synthetic route observation and diagnostic scenario per row,yes,scripts/data/generate_ch23_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,e726f1076ffaecdf5a37b2caed57047f017010a87a4b447f338d59c5735bc5cc,23,notebooks/part_02_statistics/ch23_correlation_association_regression.ipynb,exercises/**/ch23_*.md,fig-23-01;fig-23-02,data/dictionaries/ch23_data_dictionary.csv,Synthetic patterns isolate linear association curvature unequal spread and high leverage; they are not actual NRG performance
nrg-ch24-sample,1.0.0,"Chapter 24 reader sample: Categorical Data, ANOVA, and Non-parametric Methods",released,data/generated/ch24_sample.csv,CSV,90,6,One synthetic shipment per row,yes,scripts/data/generate_ch24_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,a7bd44cf04512b019f9b93a242e566af7de7f5e14139b234b119114844e4bac0,24,,exercises/**/ch24_*.md,fig-24-01;fig-24-02,data/dictionaries/ch24_data_dictionary.csv,Balanced educational example with constructed shift means; not actual NRG performance and not evidence of a causal shift effect
nrg-ch25-sample,1.0.0,Chapter 25 reader sample: Experimental Design and A/B Testing,released,data/generated/ch25_sample.csv,CSV,4000,9,One synthetic distributor account and randomized unit per row,yes,scripts/data/generate_ch25_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,eb505e65b39516009b76db3e231516ded0b2fc476119830afd73e24cf35d5c9c,25,notebooks/part_02_statistics/ch25_experimental_design_ab_testing.ipynb,exercises/**/ch25_*.md,fig-25-01;fig-25-02,data/dictionaries/ch25_data_dictionary.csv,Constructed blocked experiment reproduces the worked totals and illustrative guardrails; not actual NRG performance
nrg-ch26-sample,1.0.0,"Chapter 26 reader sample: Missing Data, Bias, Confounding, and Leakage",released,data/generated/ch26_sample.csv,CSV,200,10,One synthetic shipment per row,yes,scripts/data/generate_ch26_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,2337a8a9a868a6fa90c636b4f8d4287abf0986f849d161bd0963efc66793e9af,26,notebooks/part_02_statistics/ch26_missing_data_bias_confounding_leakage.ipynb,exercises/**/ch26_*.md,fig-26-01;fig-26-02,data/dictionaries/ch26_data_dictionary.csv,Constructed missingness and timing example; post-delivery fields are intentionally included to teach leakage and must not be used at dispatch
nrg-ch27-sample,1.0.0,Chapter 27 reader sample: From Statistical Reasoning to Machine Learning,released,data/generated/ch27_sample.csv,CSV,16,9,One training or test observation per row,yes,scripts/data/generate_ch27_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,2e284c1da9ad1b88d263819498714e2ebc9c23193afab5edc0f469911d6d3b85,27,notebooks/part_03_data_science/ch27_from_statistical_reasoning_to_machine_learning.ipynb,exercises/**/ch27_*.md,fig-27-01;fig-27-02,data/dictionaries/ch27_data_dictionary.csv,Small constructed examples illustrate workflow and metrics rather than production model performance
nrg-ch28-sample,1.0.0,"Chapter 28 reader sample: Explanation, Inference, Prediction, and Decisions",released,data/generated/ch28_sample.csv,CSV,20,10,One synthetic open shipment and dispatch-time decision per row,yes,scripts/data/generate_ch28_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:bdd97962cc1b721b7f27d2077e0918838bd929d4881f15be5b8c4e52f30de503,28,notebooks/part_03_data_science/ch28_explanation_inference_prediction_decisions.ipynb,exercises/**/ch28_*.md,fig-28-01;fig-28-02,data/dictionaries/ch28_data_dictionary.csv,Constructed calibrated-risk and cost example; loss units and perfect intervention effectiveness are simplifying assumptions
nrg-ch29-sample,1.0.0,Chapter 29 reader sample: Defining a Useful Analytical Problem,released,data/generated/ch29_sample.csv,CSV,27,9,One synthetic analytical-feasibility scenario per row,yes,scripts/data/generate_ch29_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:a25264be72a2546539fe9032a4c877341a2298518347697d171055355abb7c3f,29,notebooks/part_03_data_science/ch29_defining_useful_analytical_problem.ipynb,exercises/**/ch29_*.md,fig-29-01;fig-29-02,data/dictionaries/ch29_data_dictionary.csv,Screening scenarios estimate an upper bound before operating costs and are not forecasts of realized value
nrg-ch30-sample,1.0.0,"Chapter 30 reader sample: Provenance, Acquisition, and Data Quality",released,data/generated/ch30_sample.csv,CSV,8,11,One synthetic data-quality check and scoped result per row,yes,scripts/data/generate_ch30_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:8207cd2b516b005e85ed68f37ee1b87179ee7b24559b3f74de87c0b794ee074f,30,notebooks/part_03_data_science/ch30_provenance_acquisition_data_quality.ipynb,exercises/**/ch30_*.md,fig-30-01;fig-30-02,data/dictionaries/ch30_data_dictionary.csv,Compact quality register reproduces the manuscript review; counts are educational and not actual NRG operational data
nrg-ch31-sample,1.0.0,"Chapter 31 reader sample: Cleaning, Transformation, and Reproducible Pipelines",released,data/generated/ch31_sample.csv,CSV,8,7,One deterministic pipeline stage and its transformation-ledger result per row,yes,scripts/data/generate_ch31_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:0a4c8114803b149415e73fe30460469c764b5218ba2379895f41959176ee549d,31,notebooks/part_03_data_science/ch31_cleaning_transformation_reproducible_pipelines.ipynb,exercises/**/ch31_*.md,fig-31-01;fig-31-02,data/dictionaries/ch31_data_dictionary.csv,Educational ledger reproduces manuscript counts; affected_values mixes parsed values and affected rows as documented per stage
nrg-ch32-sample,1.0.0,Chapter 32 reader sample: Feature Engineering,released,data/generated/ch32_sample.csv,CSV,16,10,One synthetic product-warehouse forecast week per row,yes,scripts/data/generate_ch32_sample.py,deterministic-formula,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:e28ab25d437ba49b314cd8b1053ed62a50828669c8ed67eec34e75276cd7a87c,32,notebooks/part_03_data_science/ch32_feature_engineering.ipynb,exercises/**/ch32_*.md,fig-32-01;fig-32-02,data/dictionaries/ch32_data_dictionary.csv,Small constructed weekly series demonstrates feature timing and missing history; not production demand
nrg-ch33-sample,1.0.0,"Chapter 33 reader sample: Training, Validation, Testing, and Cross-validation",released,data/generated/ch33_sample.csv,CSV,5,13,One chronological validation or final-test window per row,yes,scripts/data/generate_ch33_sample.py,not applicable; fixed values reproduce the evaluation protocol,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:8ecc055e72f05f815ec57a423d8fd5742fc84612d66c7c7b557e6a7c7f797b57,33,notebooks/part_03_data_science/ch33_training_validation_testing_cross_validation.ipynb,exercises/**/ch33_*.md,fig-33-01;fig-33-02,data/dictionaries/ch33_data_dictionary.csv,Synthetic protocol ledger; metrics illustrate evaluation design and are not production performance claims
nrg-ch34-sample,1.0.0,"Chapter 34 reader sample: Underfitting, Overfitting, Bias, and Variance",released,data/generated/ch34_sample.csv,CSV,16,8,One evaluated model complexity or training-set size per row,yes,scripts/data/generate_ch34_sample.py,not applicable; fixed values reproduce chapter examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:a59daf61c328b850f1ed3e63c9524ca9c6ba5fbce44761402a9015cfe6726760,34,notebooks/part_03_data_science/ch34_underfitting_overfitting_bias_variance.ipynb,exercises/**/ch34_*.md,fig-34-01;fig-34-02,data/dictionaries/ch34_data_dictionary.csv,Synthetic diagnostic curves; illustrative losses do not estimate production demand accuracy
nrg-ch35-sample,1.0.0,"Chapter 35 reader sample: Baselines, Metrics, Imbalance, and Error Costs",released,data/generated/ch35_sample.csv,CSV,7,15,One baseline or candidate alert threshold per row,yes,scripts/data/generate_ch35_sample.py,not applicable; fixed confusion counts reproduce chapter examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:35b5fbe4d6ef76d85c5ebf177416322bbf690d46e3baed338b7917845171f3f2,35,notebooks/part_03_data_science/ch35_baselines_metrics_imbalance_error_costs.ipynb,exercises/**/ch35_*.md,fig-35-01;fig-35-02,data/dictionaries/ch35_data_dictionary.csv,Synthetic threshold analysis for 1000 shipments at 8 percent prevalence; illustrative IDR costs require local validation
nrg-ch36-sample,1.0.0,Chapter 36 reader sample: Linear and Logistic Regression for Prediction,released,data/generated/ch36_sample.csv,CSV,10,10,One synthetic shipment prediction per row,yes,scripts/data/generate_ch36_sample.py,not applicable; fixed scenarios reproduce chapter equations,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:2a8d3051775bf05aed6c162070ba9ab15a3f483875f37b9798cf545855336d2e,36,notebooks/part_03_data_science/ch36_linear_logistic_regression_prediction.ipynb,exercises/**/ch36_*.md,fig-36-01;fig-36-02,data/dictionaries/ch36_data_dictionary.csv,Synthetic model outputs for equation practice; not fitted estimates or production performance
nrg-ch37-sample,1.0.0,"Chapter 37 reader sample: Trees, Random Forests, and Gradient Boosting",released,data/generated/ch37_sample.csv,CSV,5,9,One validated prediction approach per row,yes,scripts/data/generate_ch37_sample.py,not applicable; fixed comparison values,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:7290538be0dc1b00b8875922d72338a87460a9f8c374b08d8f1b8d03c431acf6,37,notebooks/part_03_data_science/ch37_trees_random_forests_gradient_boosting.ipynb,exercises/**/ch37_*.md,fig-37-01;fig-37-02,data/dictionaries/ch37_data_dictionary.csv,Synthetic chronological-validation summary; illustrative costs and latency are not production benchmarks
nrg-ch38-sample,1.0.0,"Chapter 38 reader sample: Support Vector Machines, Nearest Neighbours, and Kernel Methods",released,data/generated/ch38_sample.csv,CSV,48,11,One synthetic shipment point in scaled two-feature geometry per row,yes,scripts/data/generate_ch38_sample.py,not applicable; deterministic trigonometric construction,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:c0be3928cc92b7b57ad1521d2c84693332de97716a53110beae484a3c037b9ca,38,notebooks/part_03_data_science/ch38_support_vector_nearest_neighbours_kernels.ipynb,exercises/**/ch38_*.md,fig-38-01;fig-38-02,data/dictionaries/ch38_data_dictionary.csv,Synthetic concentric geometry for instruction; not a fitted production sample or performance benchmark
nrg-ch39-sample,1.0.0,Chapter 39 reader sample: Clustering and Segmentation,released,data/generated/ch39_sample.csv,CSV,120,11,One synthetic active distributor summarised over a mature twelve-month window per row,yes,scripts/data/generate_ch39_sample.py,not applicable; deterministic trigonometric construction,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:eabcd8ea533268ed9225f4f96848a1bde1e0f9e97e4220725f26cc0f937370d6,39,notebooks/part_03_data_science/ch39_clustering_segmentation.ipynb,exercises/**/ch39_*.md,fig-39-01;fig-39-02,data/dictionaries/ch39_data_dictionary.csv,Synthetic compact clusters for teaching; profiles and diagnostic values do not establish production segments or business value
nrg-ch40-sample,1.0.0,Chapter 40 reader sample: Dimensionality Reduction and Representation,released,data/generated/ch40_sample.csv,CSV,240,12,One synthetic product with six mature-window portfolio measurements and training-bounded PCA outputs per row,yes,scripts/data/generate_ch40_sample.py,not applicable; deterministic trigonometric construction,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:a82de68e83def8b5e4f9f6f732d373896f8010f2a6ae2670fb7781f5e1d7d178,40,notebooks/part_03_data_science/ch40_dimensionality_reduction_representation.ipynb,exercises/**/ch40_*.md,fig-40-01;fig-40-02,data/dictionaries/ch40_data_dictionary.csv,Synthetic teaching data; component signs are arbitrary and the two-component view must not be treated as proof of natural segments or predictive sufficiency
nrg-ch41-sample,1.0.0,Chapter 41 reader sample: Anomaly Detection,released,data/generated/ch41_sample.csv,CSV,400,14,One synthetic sauce batch per row comprising 300 past reference batches and 100 later monitoring batches,yes,scripts/data/generate_ch41_sample.py,4101,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:91a4ee64b9cc70bc67944339e639afe18346031ff2bce62e398705f634b3378e,41,notebooks/part_03_data_science/ch41_anomaly_detection.ipynb,exercises/**/ch41_*.md,fig-41-01;fig-41-02,data/dictionaries/ch41_data_dictionary.csv,Synthetic evaluation outcomes include one point one contextual and one three-batch collective episode; scores rank investigation evidence and are not defect probabilities
nrg-ch42-sample,1.0.0,Chapter 42 reader sample: Time-Series Analysis and Forecasting,released,data/generated/ch42_sample.csv,CSV,156,16,One synthetic weekly product-region demand observation with released components and final holdout forecast vintage per row,yes,scripts/data/generate_ch42_sample.py,42,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:b03fcdbfedefb2be399eb053bfae71e7b54c3a21f890b74e4e8d2f49e16cdcc5,42,notebooks/part_03_data_science/ch42_time_series_forecasting.ipynb,exercises/**/ch42_*.md,fig-42-01;fig-42-02,data/dictionaries/ch42_data_dictionary.csv,Synthetic three-year weekly series; holdout forecasts use only the first 130 weeks and illustrative intervals depend on stable seasonal-error assumptions
